DGPid;low.dim;psi0.ATE;est;bias;MSE;sd
1;0;0.2;0.214894404;0.014894404;0.017413358;0.131776957
2;0;0.8;0.800231348;0.000231348;0.004892151;0.070295891
3;0;-0.8;-0.800031304;-3.13E-05;0.005393307;0.073809101
4;0;2.1;2.110057245;0.010057245;0.00300064;0.054118204
5;0;-0.3429;-0.350705581;-0.007805581;0.007399453;0.086096761
6;0;-1.1039;-1.103922974;-2.30E-05;0.005110365;0.071846949
7;0;0;-0.001670805;-0.001670805;0.00258802;0.051101286
8;0;-1.432;-1.432092946;-9.29E-05;0.000201982;0.014283345
9;0;12.62;12.61772046;-0.00227954;0.008971078;0.095165362
10;0;9.134;9.134523884;0.000523884;0.014401845;0.120611114
11;0;10.77;10.77363581;0.003635814;0.002972101;0.05466964
12;0;-3.159;-3.158964681;3.53E-05;0.010078619;0.100898077
13;0;-0.8486;-0.849338767;-0.000738767;0.001596655;0.040152601
14;0;61.11;61.10545913;-0.004540871;1.556494589;1.253872374
15;0;-0.16058;-0.159971088;0.000608912;0.000641552;0.025449126
16;0;1;0.999683503;-0.000316497;0.003031592;0.055336362
